L (GM/ID=ID/W (GM/ID=14)),ID/W,
4e-08,19.836204602046582,
6e-08,14.375838757082537,
8e-08,13.562227873536434,
1e-07,12.4967682805583,
1.2e-07,11.607973386378648,
1.4e-07,10.765297477415746,
1.6e-07,9.998373411375583,
1.8e-07,9.302391175432454,
2e-07,8.67380485432133,
2.2e-07,8.107298872448531,
2.4e-07,7.597420254216934,
2.6e-07,7.173783237082796,
2.8e-07,6.787577681354479,
3e-07,6.43548743475859,
3.2e-07,6.114111873677804,
3.4e-07,5.820222800917672,
3.6e-07,5.550869314500263,
3.8e-07,5.303407675486274,
4e-07,5.075495113031636,
4.2e-07,4.8650674787493715,
4.4e-07,4.670310917902734,
4.6e-07,4.489632650771684,
4.8e-07,4.321633293286951,
5e-07,4.165081748810848,
5.2e-07,4.006475610963847,
5.4e-07,3.8580226023307054,
5.6e-07,3.7191136449685835,
5.8e-07,3.589251121464728,
6e-07,3.467231430989945,
6.2e-07,3.3524260531598067,
6.4e-07,3.2442642487061595,
6.6e-07,3.142227982676281,
6.8e-07,3.045847013888515,
7e-07,2.955859527490356,
7.2e-07,2.8734135459004957,
7.4e-07,2.795482611051368,
7.6e-07,2.7221924835382425,
7.8e-07,2.652412716057654,
8e-07,2.58590917686646,
8.2e-07,2.52246699484457,
8.4e-07,2.4618887617404743,
8.6e-07,2.4039929081740974,
8.8e-07,2.348612239134724,
9e-07,2.295592614686414,
9.2e-07,2.244791762107799,
9.4e-07,2.1960782065119546,
9.6e-07,2.1493303079622765,
9.8e-07,2.1044353941255944,
1e-06,2.061288978523107,
1.02e-06,2.0211286001011186,
1.04e-06,1.982440392160322,
1.06e-06,1.945141383185356,
1.08e-06,1.9091595488248216,
1.1e-06,1.8744276868811487,
1.12e-06,1.8408830280414905,
1.14e-06,1.8084668825159331,
1.16e-06,1.7771243189917356,
1.18e-06,1.7468038726764994,
1.2e-06,1.7174572795336298,
1.22e-06,1.6890392341140754,
1.24e-06,1.6615071686584975,
1.26e-06,1.6348210513872952,
1.28e-06,1.6089432021137378,
1.3e-06,1.583838123510405,
1.32e-06,1.5594723465330314,
1.34e-06,1.5358142886613806,
1.36e-06,1.5128341237551532,
1.38e-06,1.490503662446342,
1.4e-06,1.4687962420995928,
1.42e-06,1.4476866254702787,
1.44e-06,1.4271509072772877,
1.46e-06,1.4071664279857585,
1.48e-06,1.387711694164582,
1.5e-06,1.3687663048456769,
1.52e-06,1.3503108833677355,
1.54e-06,1.3323270142368075,
1.56e-06,1.3147971845806368,
1.58e-06,1.2977047298135742,
1.6e-06,1.2810337831647454,
1.62e-06,1.2647692287540047,
1.64e-06,1.2488966579295862,
1.66e-06,1.2334023286065872,
1.68e-06,1.2182731273695633,
1.7e-06,1.203559181561398,
1.72e-06,1.1891844376623393,
1.74e-06,1.1751368498947825,
1.76e-06,1.1614055709006221,
1.78e-06,1.147980222789087,
1.8e-06,1.1348508721753625,
1.82e-06,1.1220080067874962,
1.84e-06,1.1094425135282746,
1.86e-06,1.0971456578880734,
1.88e-06,1.0851090646129649,
1.9e-06,1.073324699540089,
1.92e-06,1.0617848525191462,
1.94e-06,1.0504821213453008,
1.96e-06,1.0394093966345912,
1.98e-06,1.0285598475780928,
2e-06,1.0179269085161964,
2.02e-06,1.007504266278487,
2.04e-06,0.9972858482390422,
2.06e-06,0.9872658110405096,
2.08e-06,0.9774385299439213,
2.1e-06,0.967798588764079,
2.12e-06,0.9583407703535912,
2.14e-06,0.949060047600945,
2.16e-06,0.9399515749106976,
2.18e-06,0.9310106801359862,
2.2e-06,0.922232856935683,
2.22e-06,0.9138933797613144,
2.24e-06,0.9057292152089871,
2.26e-06,0.8977060553162152,
2.28e-06,0.8898203269052484,
2.3e-06,0.8820685754891283,
2.32e-06,0.8744474604136487,
2.34e-06,0.866953750234889,
2.36e-06,0.8595898272249045,
2.38e-06,0.8524369400368285,
2.4e-06,0.8453999798874898,
2.42e-06,0.8384761788098701,
2.44e-06,0.8316628556536168,
2.46e-06,0.8249574127275043,
2.48e-06,0.8183573325956155,
2.5e-06,0.811860175019216,
2.52e-06,0.805463574036649,
2.54e-06,0.799165235174108,
2.56e-06,0.7929629327805066,
2.58e-06,0.786854507480101,
2.6e-06,0.7808378637368751,
2.62e-06,0.7749109675249989,
2.64e-06,0.7690718441001091,
2.66e-06,0.7633185758663056,
2.68e-06,0.757649300334174,
2.7e-06,0.7520622081653336,
2.72e-06,0.7465555412993021,
2.74e-06,0.7411275911586351,
2.76e-06,0.7357766969286433,
2.78e-06,0.7305012439080383,
2.8e-06,0.7252996619271743,
2.82e-06,0.7201704238306725,
2.84e-06,0.7151120440214284,
2.86e-06,0.7101230770630846,
2.88e-06,0.7052021163383206,
2.9e-06,0.7003477927603551,
2.92e-06,0.6955587735352129,
2.94e-06,0.6908337609724624,
2.96e-06,0.6861714913422479,
2.98e-06,0.6815707337765035,
3e-06,0.6770302892123872,
3.02e-06,0.6725489893760767,
3.04e-06,0.6681256958051289,
3.06e-06,0.6637592989077147,
3.08e-06,0.6594487170571253,
3.1e-06,0.6551928957200311,
3.12e-06,0.6509908066170105,
3.14e-06,0.646841446914009,
3.16e-06,0.642743838443372,
