L (GM/ID=W/ID (GM/ID=20)),W/ID,
4e-08,1.471350804330213,
6e-08,0.7936023968296736,
8e-08,0.7625997583213238,
1e-07,0.8090091312489374,
1.2e-07,0.8940721609888621,
1.4e-07,0.9875963244588462,
1.6e-07,1.0854629760032366,
1.8e-07,1.1874199701129489,
2e-07,1.2938736756203146,
2.2e-07,1.405183279120881,
2.4e-07,1.5202507539602896,
2.6e-07,1.6003593184827671,
2.8e-07,1.6826373648825694,
3e-07,1.7668718214628218,
3.2e-07,1.8528662382395458,
3.4e-07,1.9404417096862039,
3.6e-07,2.029461391292435,
3.8e-07,2.119803711593735,
4e-07,2.211364962612668,
4.2e-07,2.3040567779165837,
4.4e-07,2.397803763226723,
4.6e-07,2.4925413751872814,
4.8e-07,2.5882140861828207,
5e-07,2.6847738337426934,
5.2e-07,2.784772200844285,
5.4e-07,2.8852483444286516,
5.6e-07,2.9861521556299637,
5.8e-07,3.0874483395148244,
6e-07,3.1891072367606066,
6.2e-07,3.291103692365609,
6.4e-07,3.393416183533056,
6.6e-07,3.4960261405794446,
6.8e-07,3.5989174132911113,
7e-07,3.7020758480404794,
7.2e-07,3.8054889500611324,
7.4e-07,3.9091456117786088,
7.6e-07,4.01303589279895,
7.8e-07,4.117150840603229,
8e-07,4.221482343545893,
8.2e-07,4.326023009660112,
8.4e-07,4.4307660662090855,
8.6e-07,4.535705276011966,
8.8e-07,4.6408348674099225,
9e-07,4.746149475380939,
9.2e-07,4.851644091811496,
9.4e-07,4.957314023326704,
9.6e-07,5.063154855383837,
9.8e-07,5.169162421582089,
1e-06,5.275332777330394,
1.02e-06,5.369754854924089,
1.04e-06,5.46405317842331,
1.06e-06,5.5582842236150665,
1.08e-06,5.652454332768809,
1.1e-06,5.746569300850791,
1.12e-06,5.840634426651562,
1.14e-06,5.934654558771182,
1.16e-06,6.028634136998574,
1.18e-06,6.122577229568643,
1.2e-06,6.2164875667299295,
1.22e-06,6.310368571007633,
1.24e-06,6.404223384510919,
1.26e-06,6.498054893589161,
1.28e-06,6.591865751115974,
1.3e-06,6.685658396643862,
1.32e-06,6.779435074650385,
1.34e-06,6.873197851069736,
1.36e-06,6.966948628285862,
1.38e-06,7.060689158740476,
1.4e-06,7.154421057296898,
1.42e-06,7.2481458124824565,
1.44e-06,7.341864796720969,
1.46e-06,7.435579275653848,
1.48e-06,7.529290416639519,
1.5e-06,7.622999296509116,
1.52e-06,7.7167069086514415,
1.54e-06,7.810414169489117,
1.56e-06,7.904121924404614,
1.58e-06,7.9978309531669405,
1.6e-06,8.091541974905144,
1.62e-06,8.185255652671065,
1.64e-06,8.278972597627039,
1.66e-06,8.372693372894508,
1.68e-06,8.46641849709159,
1.7e-06,8.560148447590107,
1.72e-06,8.653883663512625,
1.74e-06,8.74762454849702,
1.76e-06,8.841371473244292,
1.78e-06,8.935124777869754,
1.8e-06,9.028884774077362,
1.82e-06,9.122651747165063,
1.84e-06,9.216425957883002,
1.86e-06,9.310207644150763,
1.88e-06,9.40399702264941,
1.9e-06,9.497794290294204,
1.92e-06,9.59159962560339,
1.94e-06,9.68541318996476,
1.96e-06,9.779235128813385,
1.98e-06,9.873065572724757,
2e-06,9.966904638430956,
2.02e-06,10.06075242976469,
2.04e-06,10.154609038538368,
2.06e-06,10.248474545362125,
2.08e-06,10.342349020404692,
2.1e-06,10.43623252410361,
2.12e-06,10.530125107825937,
2.14e-06,10.624026814485523,
2.16e-06,10.717937679117,
2.18e-06,10.811857729414221,
2.2e-06,10.90578698623026,
2.22e-06,10.99972546404581,
2.24e-06,11.093673171406396,
2.26e-06,11.187630111331734,
2.28e-06,11.281596281697638,
2.3e-06,11.375571675592546,
2.32e-06,11.469556281653883,
2.34e-06,11.563550084379361,
2.36e-06,11.657553064420828,
2.38e-06,11.75156519885795,
2.4e-06,11.845586461456698,
2.42e-06,11.939616822907977,
2.44e-06,12.033656251054536,
2.46e-06,12.127704711102417,
2.48e-06,12.221762165818511,
2.5e-06,12.315828575716875,
2.52e-06,12.40990389923281,
2.54e-06,12.503988092886399,
2.56e-06,12.598081111435787,
2.58e-06,12.692182908020484,
2.6e-06,12.786293434297535,
2.62e-06,12.880412640566712,
2.64e-06,12.974540475890223,
2.66e-06,13.068676888203697,
2.68e-06,13.162821824421211,
2.7e-06,13.256975230533142,
2.72e-06,13.351137051698474,
2.74e-06,13.445307232330777,
2.76e-06,13.539485716179977,
