L (GM/ID=ID/W (GM/ID=15)),ID/W,
1.8e-07,3.2262143721597485,
2e-07,2.6583384777485786,
2.2e-07,2.266885288951453,
2.4e-07,1.9822824047441725,
2.6e-07,1.765456615967099,
2.8e-07,1.5940131468707768,
3e-07,1.4544502742715244,
3.2e-07,1.3382045713850634,
3.4e-07,1.2395931455253544,
3.6e-07,1.1546934846663817,
3.8e-07,1.0807048006626787,
4e-07,1.0155679790714582,
4.2e-07,0.957730551261394,
4.4e-07,0.9059962660443319,
4.6e-07,0.8594257990717711,
4.8e-07,0.8172693783349468,
5e-07,0.7789199131027262,
6e-07,0.629488127366125,
7e-07,0.5271854812018835,
8e-07,0.45478403300778253,
9e-07,0.3993176116640882,
1e-06,0.3555507355780003,
1.2e-06,0.2909712606046133,
1.4e-06,0.24572550335377802,
1.6e-06,0.21235071443586306,
1.8e-06,0.18676874103059643,
2e-06,0.16656679064095103,
2.2e-06,0.15022863294798386,
2.4e-06,0.1367550490664191,
2.6e-06,0.12546165409581425,
2.8e-06,0.1158644829315744,
3e-06,0.10761195598567695,
3.2e-06,0.10044271621675933,
3.4e-06,0.09415856592129325,
3.6e-06,0.08860656286088572,
3.8e-06,0.08366686024899495,
4e-06,0.0792442548024778,
4.2e-06,0.07526219058531188,
4.4e-06,0.07165842662079096,
4.6e-06,0.06838185479830206,
4.8e-06,0.06539012772918386,
5e-06,0.06264786641090743,
