L (GM/ID=ID/W (GM/ID=20)),ID/W,
1.8e-07,1.7757379221292715,
2e-07,1.6214286666491702,
2.2e-07,1.4737157138223633,
2.4e-07,1.367875982812575,
2.6e-07,1.265413600767739,
2.8e-07,1.171486411140729,
3e-07,1.0867146070056124,
3.2e-07,1.010444872153336,
3.4e-07,0.9417174997464348,
3.6e-07,0.8795916949583392,
3.8e-07,0.8232377217866551,
4e-07,0.7711618835972492,
4.2e-07,0.7302852879989176,
4.4e-07,0.6935558163871117,
4.6e-07,0.6598085825711356,
4.8e-07,0.6286156126823741,
5e-07,0.5996346747634556,
6e-07,0.48232174046773124,
7e-07,0.3976707442325635,
8e-07,0.3442664592010003,
9e-07,0.3019648990327012,
1e-06,0.2679446873110503,
1.2e-06,0.21714468146718077,
1.4e-06,0.18259796598943975,
1.6e-06,0.15901048926503591,
1.8e-06,0.1405950177698965,
2e-06,0.125857925713347,
2.2e-06,0.11384404394352582,
2.4e-06,0.1038766446558009,
2.6e-06,0.0954823658471144,
2.8e-06,0.0883213251381755,
3e-06,0.08214377683716925,
3.2e-06,0.07676242083027661,
3.4e-06,0.0720342225289076,
3.6e-06,0.06784817746785463,
3.8e-06,0.06411688954983054,
4e-06,0.060770655057745294,
4.2e-06,0.05775322948730961,
4.4e-06,0.05501874732294161,
4.6e-06,0.052529446272356464,
4.8e-06,0.05024136448976698,
5e-06,0.04812936767507376,
