L (GM/ID=ID/W (GM/ID=24)),ID/W,
1.8e-07,0.0716917827518055,
2e-07,0.0651104116448064,
2.2e-07,0.05979765181105767,
2.4e-07,0.05476566341513513,
2.6e-07,0.05044367828930022,
2.8e-07,0.04677856248151529,
3e-07,0.04363893994392262,
3.2e-07,0.04093174066836561,
3.4e-07,0.038568949534706534,
3.6e-07,0.03648293476439745,
3.8e-07,0.03462312018125925,
4e-07,0.03294971403986962,
4.2e-07,0.03143198646950033,
4.4e-07,0.030049672731443412,
4.6e-07,0.02878425560397625,
4.8e-07,0.02762068484350679,
5e-07,0.026546564802275324,
6e-07,0.0222067248838428,
7e-07,0.019057312263706442,
8e-07,0.01666687924652512,
9e-07,0.014792076956992582,
1e-06,0.013283881954368039,
1.2e-06,0.011011700489720248,
1.4e-06,0.009385680128325634,
1.6e-06,0.008167566889556615,
1.8e-06,0.007222774369368808,
2e-06,0.0064696805542083435,
2.2e-06,0.0058559982418979264,
2.4e-06,0.005346736113673754,
2.6e-06,0.004917624819119213,
2.8e-06,0.0045513213570511964,
3e-06,0.004235114388893711,
3.2e-06,0.003959482226363221,
3.4e-06,0.003717156205091803,
3.6e-06,0.0035024946813512676,
3.8e-06,0.0033110540520418738,
4e-06,0.0031392882383544456,
4.2e-06,0.002984333997976955,
4.4e-06,0.0028438548396450838,
4.6e-06,0.0027159257373165486,
4.8e-06,0.002598946752962482,
5e-06,0.0024915774715506466,
