L (GM/ID=ID/W (GM/ID=7)),ID/W,
1.8e-07,53.05175014412007,
2e-07,48.26875501359684,
2.2e-07,44.20777797048338,
2.4e-07,40.73469530292303,
2.6e-07,37.74195233750001,
2.8e-07,35.121374564034724,
3e-07,32.814100646202434,
3.2e-07,30.772397599747134,
3.4e-07,28.955556537721044,
3.6e-07,27.329797615679198,
3.8e-07,25.867338935088156,
4e-07,24.545334351268277,
4.2e-07,23.344918295504392,
4.4e-07,22.250416047459204,
4.6e-07,21.251442753744538,
4.8e-07,20.33897940305354,
5e-07,19.49832732216849,
6e-07,16.131315724999876,
7e-07,13.747525933331742,
8e-07,11.972963986695797,
9e-07,10.601242994925258,
1e-06,9.507480216880461,
1.2e-06,7.88321882157683,
1.4e-06,6.733529420676321,
1.6e-06,5.878064353466944,
1.8e-06,5.218464184507497,
2e-06,4.692256482264539,
2.2e-06,4.262725728137442,
2.4e-06,3.9056657454913886,
2.6e-06,3.605012111445821,
2.8e-06,3.3474951667514294,
3e-06,3.124436119701369,
3.2e-06,2.9293387793693686,
3.4e-06,2.7572443981480688,
3.6e-06,2.6043023526850075,
3.8e-06,2.4674769712805995,
4e-06,2.3443427152333975,
4.2e-06,2.2329381586575305,
4.4e-06,2.13165998461196,
4.6e-06,2.039184767668039,
4.8e-06,1.9544104034108212,
5e-06,1.8764116595432476,
